0E08802099E3AB,30.06.2023 14:36:21
0E08802098D49B,30.06.2023 14:36:25
0E08802098D49B,30.06.2023 14:36:28
0E08802099E3AB,30.06.2023 14:36:32
0E08802098D49B,30.06.2023 14:36:36
0E08802098D49B,30.06.2023 14:36:40
0E08802098D49B,30.06.2023 14:36:44
0E08802098D49B,30.06.2023 14:36:48
0E08802098D49B,30.06.2023 14:36:51
0E08802098D49B,30.06.2023 14:36:55
0E08802098D49B,30.06.2023 14:36:59
0E08802099E3AB,30.06.2023 14:37:03
0E08802097F8AA,30.06.2023 14:37:07
0E08802098D49B,30.06.2023 14:37:10
0E08802098D49B,30.06.2023 14:37:14
0E08802098D49B,30.06.2023 14:37:18
0E08802098D49B,30.06.2023 14:37:22
